"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","belgium","brussels","2020-04-19",2352,"Molenbeek-Saint-Jean",50.85787,4.30809,"Apartment","Entire home/apt",5,2,2,"$93.00",2,365,22,89.375,715
"2","belgium","brussels","2020-04-19",2354,"Molenbeek-Saint-Jean",50.85697,4.30651,"Apartment","Entire home/apt",4,1,1,"$78.00",2,365,22,78,624
"3","belgium","brussels","2020-04-19",42521,"Ixelles",50.81971,4.38696,"Townhouse","Private room",2,1,1,"$45.00",2,1125,17,40,520
"4","belgium","brussels","2020-04-19",45145,"Saint-Josse-ten-Noode",50.853,4.36971,"Bed and breakfast","Hotel room",2,1,1,"$100.00",1,730,24,188.333333333333,1130
"5","belgium","brussels","2020-04-19",48180,"Woluwe-Saint-Pierre",50.83821,4.40683,"Apartment","Entire home/apt",2,2,2,"$200.00",2,14,30,NA,0
"6","belgium","brussels","2020-04-19",52796,"Ixelles",50.83356,4.36027,"Apartment","Entire home/apt",3,1,1,"$74.00",5,120,15,74,1110
"7","belgium","brussels","2020-04-19",71744,"Bruxelles",50.85427,4.34842,"Apartment","Entire home/apt",2,1,1,"$60.00",2,1125,0,60,1800
"8","belgium","brussels","2020-04-19",80257,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$95.00",1,365,30,NA,0
"9","belgium","brussels","2020-04-19",80320,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$85.00",1,365,30,NA,0
"10","belgium","brussels","2020-04-19",80373,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$85.00",1,365,30,NA,0
"11","belgium","brussels","2020-04-19",96293,"Anderlecht",50.84053,4.3363,"Serviced apartment","Entire home/apt",6,1,4,"$135.00",1,365,30,NA,0
"12","belgium","brussels","2020-04-19",96642,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$70.00",1,365,30,NA,0
"13","belgium","brussels","2020-04-19",96694,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",4,1,3,"$85.00",1,365,30,NA,0
"14","belgium","brussels","2020-04-19",97740,"Schaerbeek",50.86986,4.37712,"Bed and breakfast","Hotel room",4,2,3,"$95.00",2,30,24,95,570
"15","belgium","brussels","2020-04-19",97768,"Uccle",50.80532,4.33227,"Townhouse","Private room",2,1,1,"$75.00",7,91,0,75,2250
"16","belgium","brussels","2020-04-19",106677,"Uccle",50.8064,4.33487,"House","Entire home/apt",2,1,1,"$85.00",3,365,14,85,1360
"17","belgium","brussels","2020-04-19",118707,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$95.00",1,365,30,NA,0
"18","belgium","brussels","2020-04-19",130097,"Bruxelles",50.84582,4.34954,"Bed and breakfast","Hotel room",2,1,1,"$97.00",1,1125,30,NA,0
"19","belgium","brussels","2020-04-19",134357,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$70.00",1,365,30,NA,0
"20","belgium","brussels","2020-04-19",134361,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",4,1,3,"$80.00",1,365,30,NA,0
"21","belgium","brussels","2020-04-19",134504,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",4,0,3,"$80.00",1,365,30,NA,0
"22","belgium","brussels","2020-04-19",134581,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",7,1,6,"$120.00",1,365,29,120,120
"23","belgium","brussels","2020-04-19",134687,"Uccle",50.81208,4.348,"Apartment","Entire home/apt",2,1,1,"$55.00",3,730,0,55,1650
"24","belgium","brussels","2020-04-19",137971,"Bruxelles",50.84607,4.37444,"Apartment","Entire home/apt",5,3,4,"$165.00",1,730,27,165,495
