"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","france","bordeaux","2020-03-19",28925,"Centre ville (Bordeaux)",44.8491,-0.5935,"House","Entire home/apt",12,5,8,"$24.00",2,21,0,275,8250
"2","france","bordeaux","2020-03-19",185534,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"House","Private room",2,1,1,"$75.00",1,730,30,NA,0
"3","france","bordeaux","2020-03-19",218103,"Bgles",44.81418,-0.54842,"Apartment","Entire home/apt",4,1,1,"$100.00",2,21,10,100,2000
"4","france","bordeaux","2020-03-19",222887,"Bordeaux Sud",44.83611,-0.5664,"Apartment","Entire home/apt",4,2,3,"$175.00",3,120,19,183.090909090909,2014
"5","france","bordeaux","2020-03-19",317273,"Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Apartment","Entire home/apt",3,1,1,"$155.00",3,120,30,NA,0
"6","france","bordeaux","2020-03-19",317658,"Centre ville (Bordeaux)",44.83882,-0.56887,"Apartment","Entire home/apt",6,2,4,"$195.00",3,90,29,184,184
"7","france","bordeaux","2020-03-19",333031,"Centre ville (Bordeaux)",44.84267,-0.57656,"Apartment","Entire home/apt",3,0,1,"$79.00",1,1125,28,79,158
"8","france","bordeaux","2020-03-19",365993,"Bgles",44.81149,-0.55825,"Apartment","Entire home/apt",6,2,4,"$85.00",5,30,18,85,1020
"9","france","bordeaux","2020-03-19",400306,"La Bastide",44.8439,-0.55831,"Condominium","Entire home/apt",2,1,1,"$59.00",2,1125,2,60.75,1701
"10","france","bordeaux","2020-03-19",403245,"Bordeaux Sud",44.83385,-0.57033,"Apartment","Entire home/apt",3,1,2,"$59.00",2,31,0,59,1770
"11","france","bordeaux","2020-03-19",408270,"Bgles",44.81412,-0.54641,"Apartment","Entire home/apt",4,1,1,"$85.00",2,21,17,85,1105
"12","france","bordeaux","2020-03-19",410267,"Bgles",44.81494,-0.54799,"Apartment","Entire home/apt",4,1,1,"$85.00",2,21,17,85,1105
"13","france","bordeaux","2020-03-19",412475,"Bgles",44.81428,-0.54875,"Apartment","Entire home/apt",4,1,1,"$85.00",2,21,17,85,1105
"14","france","bordeaux","2020-03-19",437127,"Chartrons - Grand Parc - Jardin Public",44.85636,-0.58518,"Apartment","Private room",2,1,1,"$45.00",2,1125,20,45.4,454
"15","france","bordeaux","2020-03-19",438600,"Chartrons - Grand Parc - Jardin Public",44.85575,-0.5824,"Apartment","Private room",1,1,1,"$30.00",2,1125,22,30,240
"16","france","bordeaux","2020-03-19",450324,"Plaisance-Loret-Maregue",44.86238,-0.50698,"House","Entire home/apt",5,4,4,"$110.00",2,1125,0,110,3300
"17","france","bordeaux","2020-03-19",457462,"Talence",44.80935,-0.59991,"Apartment","Entire home/apt",4,2,2,"$75.00",2,21,0,75,2250
"18","france","bordeaux","2020-03-19",457640,"Talence",44.80907,-0.60034,"Apartment","Entire home/apt",4,2,2,"$80.00",2,30,0,80,2400
"19","france","bordeaux","2020-03-19",458580,"Bordeaux Sud",44.83424,-0.57022,"Apartment","Entire home/apt",4,1,2,"$35.00",28,300,27,35,105
"20","france","bordeaux","2020-03-19",478369,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82968,-0.59534,"House","Entire home/apt",7,4,5,"$114.00",5,15,0,114,3420
"21","france","bordeaux","2020-03-19",482102,"Le Bouscat",44.85446,-0.59562,"Townhouse","Entire home/apt",12,6,7,"$185.00",2,21,25,185,925
"22","france","bordeaux","2020-03-19",500193,"Bordeaux Sud",44.83118,-0.5628,"Apartment","Entire home/apt",4,2,2,"$100.00",1,14,22,100,800
"23","france","bordeaux","2020-03-19",536436,"Centre ville (Bordeaux)",44.83911,-0.57311,"Apartment","Entire home/apt",2,NA,1,"$80.00",2,21,0,80,2400
"24","france","bordeaux","2020-03-19",543460,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82761,-0.59472,"Bed and breakfast","Private room",2,1,1,"$110.00",1,1125,4,106,2756
"25","france","bordeaux","2020-03-19",545440,"Chartrons - Grand Parc - Jardin Public",44.85657,-0.57796,"House","Entire home/apt",5,2,2,"$200.00",2,30,25,218,1090
"26","france","bordeaux","2020-03-19",548827,"Centre ville (Bordeaux)",44.83949,-0.57233,"Bed and breakfast","Private room",2,1,1,"$110.00",1,6,23,110,770
"27","france","bordeaux","2020-03-19",557526,"Talence",44.81216,-0.59949,"Apartment","Entire home/apt",3,2,1,"$79.00",3,21,0,79,2370
"28","france","bordeaux","2020-03-19",558936,"Chartrons - Grand Parc - Jardin Public",44.85385,-0.57186,"Apartment","Entire home/apt",8,4,4,"$130.00",1,125,23,134.285714285714,940
"29","france","bordeaux","2020-03-19",568013,"Bordeaux Sud",44.8337,-0.56805,"House","Entire home/apt",7,3,6,"$90.00",4,21,2,90,2520
"30","france","bordeaux","2020-03-19",582745,"Le Bouscat",44.86363,-0.60591,"House","Entire home/apt",8,3,5,"$150.00",2,1125,27,166.666666666667,500
"31","france","bordeaux","2020-03-19",599263,"Centre ville (Bordeaux)",44.83828,-0.5762,"Apartment","Entire home/apt",4,2,2,"$120.00",2,15,15,107.466666666667,1612
"32","france","bordeaux","2020-03-19",648539,"Bordeaux Sud",44.83103,-0.56652,"Apartment","Entire home/apt",4,1,1,"$29.00",30,1125,12,29,522
"33","france","bordeaux","2020-03-19",656926,"Bordeaux Sud",44.83421,-0.56205,"House","Private room",2,1,1,"$50.00",2,6,0,50,1500
"34","france","bordeaux","2020-03-19",667763,"Centre ville (Bordeaux)",44.83703,-0.56795,"Apartment","Entire home/apt",2,1,1,"$99.00",30,300,21,99,891
"35","france","bordeaux","2020-03-19",670292,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82984,-0.58893,"Apartment","Entire home/apt",2,1,1,"$70.00",3,1125,0,70,2100
"36","france","bordeaux","2020-03-19",675853,"Bordeaux Sud",44.83266,-0.56264,"Apartment","Entire home/apt",4,3,2,"$100.00",2,120,29,100,100
"37","france","bordeaux","2020-03-19",709326,"Caudran",44.83948,-0.61874,"House","Private room",2,1,1,"$60.00",2,30,0,50,1500
"38","france","bordeaux","2020-03-19",724856,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83165,-0.59787,"House","Private room",2,1,1,"$45.00",2,1125,0,45,1350
"39","france","bordeaux","2020-03-19",749334,"Bordeaux Sud",44.83393,-0.56643,"Apartment","Entire home/apt",2,1,NA,"$25.00",14,30,0,25,750
"40","france","bordeaux","2020-03-19",752422,"Centre ville (Bordeaux)",44.84655,-0.58042,"Apartment","Entire home/apt",3,1,1,"$50.00",5,90,0,50,1500
"41","france","bordeaux","2020-03-19",765240,"Centre ville (Bordeaux)",44.84344,-0.57748,"Apartment","Entire home/apt",4,2,3,"$210.00",3,28,0,200,6000
"42","france","bordeaux","2020-03-19",776808,"Nansouty - Saint Gens",44.8256,-0.58388,"Bed and breakfast","Private room",2,1,1,"$80.00",2,15,0,82.4,2472
"43","france","bordeaux","2020-03-19",777417,"Nansouty - Saint Gens",44.82579,-0.58352,"Bed and breakfast","Private room",3,1,2,"$89.00",2,31,0,92.3,2769
"44","france","bordeaux","2020-03-19",779477,"Centre ville (Bordeaux)",44.84717,-0.58941,"Apartment","Entire home/apt",6,3,4,"$64.00",2,365,21,68,612
"45","france","bordeaux","2020-03-19",783449,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83011,-0.60038,"House","Private room",3,1,2,"$49.00",1,1125,25,49,245
"46","france","bordeaux","2020-03-19",793746,"Bordeaux Sud",44.82869,-0.57231,"Apartment","Entire home/apt",2,1,1,"$75.00",2,30,30,NA,0
"47","france","bordeaux","2020-03-19",801440,"Bordeaux Sud",44.82869,-0.57231,"Apartment","Entire home/apt",2,1,1,"$75.00",2,1125,27,75,225
"48","france","bordeaux","2020-03-19",805226,"Centre ville (Bordeaux)",44.84614,-0.58054,"House","Private room",2,1,1,"$42.00",2,14,26,42,168
"49","france","bordeaux","2020-03-19",806933,"Bordeaux Maritime",44.86103,-0.56561,"House","Entire home/apt",7,2,4,"$104.00",2,1125,24,123.333333333333,740
"50","france","bordeaux","2020-03-19",813125,"Palmer-Gravires-Cavailles",44.86135,-0.51667,"Bed and breakfast","Private room",5,3,3,"$58.00",4,30,27,58,174
"51","france","bordeaux","2020-03-19",823341,"Bordeaux Sud",44.83134,-0.57183,"Apartment","Entire home/apt",4,1,2,"$90.00",4,365,0,90,2700
"52","france","bordeaux","2020-03-19",835418,"Chartrons - Grand Parc - Jardin Public",44.85239,-0.58688,"Condominium","Entire home/apt",4,2,3,"$53.00",7,14,0,35,1050
"53","france","bordeaux","2020-03-19",837713,"Carbon-Blanc",44.90228,-0.50126,"House","Private room",2,1,1,"$27.00",5,365,0,30,900
"54","france","bordeaux","2020-03-19",845807,"Chartrons - Grand Parc - Jardin Public",44.85261,-0.57731,"Apartment","Entire home/apt",2,1,1,"$120.00",1,90,16,94.2857142857143,1320
"55","france","bordeaux","2020-03-19",845815,"Chartrons - Grand Parc - Jardin Public",44.85066,-0.57588,"Apartment","Entire home/apt",2,1,1,"$200.00",1,90,16,87.1428571428571,1220
"56","france","bordeaux","2020-03-19",856891,"Caudran",44.85952,-0.61226,"House","Entire home/apt",10,5,6,"$300.00",2,30,29,381,381
"57","france","bordeaux","2020-03-19",858946,"Centre ville (Bordeaux)",44.84204,-0.573,"Apartment","Entire home/apt",4,1,2,"$60.00",1,180,0,60,1800
"58","france","bordeaux","2020-03-19",865244,"La Glacire",44.82859,-0.61801,"Bungalow","Entire home/apt",2,1,1,"$59.00",2,21,25,68.6,343
"59","france","bordeaux","2020-03-19",867488,"Bordeaux Sud",44.83305,-0.57509,"Apartment","Entire home/apt",8,3,6,"$280.00",2,90,12,200,3600
"60","france","bordeaux","2020-03-19",872870,"Bordeaux Sud",44.83305,-0.57509,"Apartment","Entire home/apt",8,4,8,"$350.00",2,90,14,180,2880
"61","france","bordeaux","2020-03-19",872948,"Bordeaux Sud",44.83305,-0.57509,"Apartment","Entire home/apt",4,2,3,"$76.00",2,90,13,53,901
"62","france","bordeaux","2020-03-19",872979,"Bordeaux Sud",44.83305,-0.57509,"Apartment","Entire home/apt",2,1,1,"$80.00",2,90,12,40,720
"63","france","bordeaux","2020-03-19",878032,"France Alouette",44.78298,-0.68522,"Bed and breakfast","Private room",3,2,2,"$135.00",1,7,27,135,405
"64","france","bordeaux","2020-03-19",880024,"Bordeaux Sud",44.83305,-0.57509,"Apartment","Entire home/apt",16,10,21,"$890.00",2,365,9,485.095238095238,10187
"65","france","bordeaux","2020-03-19",880178,"Gradignan",44.75465,-0.62296,"Guesthouse","Entire home/apt",2,1,1,"$80.00",3,21,0,35,1050
"66","france","bordeaux","2020-03-19",881775,"Gradignan",44.75465,-0.62296,"Villa","Entire home/apt",12,5,12,"$495.00",2,21,0,490,14700
"67","france","bordeaux","2020-03-19",881940,"Gradignan",44.75388,-0.6228,"Cottage","Entire home/apt",12,5,16,"$495.00",2,30,25,380,1900
"68","france","bordeaux","2020-03-19",888556,"Caudran",44.84738,-0.60446,"House","Private room",2,1,1,"$70.00",3,1125,30,NA,0
"69","france","bordeaux","2020-03-19",913857,"Ambars-et-Lagrave",44.92077,-0.5036,"Apartment","Private room",2,1,1,"$25.00",1,1125,30,NA,0
"70","france","bordeaux","2020-03-19",920432,"Nansouty - Saint Gens",44.81729,-0.56617,"Apartment","Entire home/apt",2,0,1,"$43.00",365,365,30,NA,0
"71","france","bordeaux","2020-03-19",921237,"Talence",44.82142,-0.59232,"House","Private room",1,1,1,"$30.00",3,1125,18,30,360
"72","france","bordeaux","2020-03-19",939481,"Bordeaux Sud",44.83247,-0.56343,"Apartment","Private room",2,1,1,"$40.00",1,7,22,43.75,350
"73","france","bordeaux","2020-03-19",941005,"Centre ville (Bordeaux)",44.83899,-0.59181,"Apartment","Entire home/apt",5,2,3,"$80.00",4,1124,0,92.4333333333333,2773
"74","france","bordeaux","2020-03-19",943643,"Le Bouscat",44.86333,-0.6185,"House","Private room",8,3,3,"$79.00",4,300,4,82.1538461538462,2136
"75","france","bordeaux","2020-03-19",945340,"Centre ville (Bordeaux)",44.83717,-0.56826,"Condominium","Entire home/apt",2,0,1,"$25.00",28,300,0,25,750
"76","france","bordeaux","2020-03-19",953206,"Centre ville (Bordeaux)",44.83949,-0.57233,"Bed and breakfast","Private room",3,1,2,"$125.00",2,1125,22,125,1000
"77","france","bordeaux","2020-03-19",953240,"Centre ville (Bordeaux)",44.83949,-0.57233,"Bed and breakfast","Private room",2,1,1,"$110.00",2,1125,22,109.5,876
"78","france","bordeaux","2020-03-19",956104,"Blanquefort",44.9222,-0.64419,"House","Private room",2,1,1,"$58.00",1,1125,5,58,1450
"79","france","bordeaux","2020-03-19",956277,"Caudran",44.84852,-0.60524,"House","Private room",2,1,NA,"$70.00",1,1125,30,NA,0
"80","france","bordeaux","2020-03-19",964043,"Chartrons - Grand Parc - Jardin Public",44.8461,-0.57913,"Apartment","Entire home/apt",6,3,3,"$150.00",2,120,26,150,600
