"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","spain","barcelona","2020-05-11",21974,"el Barri Gòtic",41.38077,2.17551,"Apartment","Private room",2,1,1,"$60.00",3,20,30,NA,0
"2","spain","barcelona","2020-05-11",23197,"el Besòs i el Maresme",41.41291,2.22063,"Apartment","Entire home/apt",6,3,5,"$220.00",3,30,30,NA,0
"3","spain","barcelona","2020-05-11",31958,"el Camp d'en Grassot i Gràcia Nova",41.4095,2.15938,"Apartment","Entire home/apt",4,1,1,"$58.00",1,27,11,80.5263157894737,1530
"4","spain","barcelona","2020-05-11",32471,"el Camp d'en Grassot i Gràcia Nova",41.40928,2.16112,"Apartment","Entire home/apt",5,3,3,"$66.00",1,27,16,95.0714285714286,1331
"5","spain","barcelona","2020-05-11",32711,"el Camp d'en Grassot i Gràcia Nova",41.40566,2.17015,"Apartment","Entire home/apt",6,2,3,"$140.00",2,365,25,190.6,953
"6","spain","barcelona","2020-05-11",34241,"el Barri Gòtic",41.37916,2.17535,"Apartment","Private room",2,1,1,"$100.00",5,730,30,NA,0
"7","spain","barcelona","2020-05-11",34981,"el Barri Gòtic",41.37978,2.17623,"Apartment","Entire home/apt",9,4,6,"$227.00",5,365,21,466.666666666667,4200
"8","spain","barcelona","2020-05-11",35379,"l'Antiga Esquerra de l'Eixample",41.39036,2.15274,"Apartment","Private room",2,1,1,"$40.00",2,730,28,42.5,85
"9","spain","barcelona","2020-05-11",35388,"l'Antiga Esquerra de l'Eixample",41.39065,2.15196,"Apartment","Private room",1,1,1,"$30.00",2,730,0,31.3333333333333,940
"10","spain","barcelona","2020-05-11",35390,"l'Antiga Esquerra de l'Eixample",41.39153,2.15125,"Apartment","Private room",1,1,1,"$30.00",2,730,27,31.6666666666667,95
"11","spain","barcelona","2020-05-11",35392,"l'Antiga Esquerra de l'Eixample",41.39082,2.15078,"Apartment","Private room",2,1,1,"$45.00",2,730,27,46.6666666666667,140
"12","spain","barcelona","2020-05-11",36763,"la Barceloneta",41.37906,2.19141,"Apartment","Private room",1,1,1,"$33.00",2,65,23,33.5714285714286,235
